datetime,open,high,low,close
2025-04-24 19:00:00+00:00,0.82718998,0.82773,0.82678002,0.82744002
2025-04-24 19:30:00+00:00,0.82742,0.82822001,0.82704002,0.82704002
2025-04-24 20:00:00+00:00,0.82704997,0.82821,0.82669002,0.82788002
2025-04-24 20:30:00+00:00,0.82787001,0.82859999,0.82773,0.82841998
2025-04-24 21:00:00+00:00,0.82837999,0.82880002,0.82824999,0.82871997
2025-04-24 21:30:00+00:00,0.82871002,0.82881999,0.82788002,0.82804
2025-04-24 22:00:00+00:00,0.82806998,0.82810998,0.82688999,0.82705998
2025-04-24 22:30:00+00:00,0.82708001,0.82734001,0.82647997,0.82734001
2025-04-24 23:00:00+00:00,0.82734001,0.82786,0.82704997,0.82726997
2025-04-24 23:30:00+00:00,0.82727998,0.82731998,0.82604003,0.82669997
2025-04-25 00:00:00+00:00,0.82621002,0.82700002,0.82545,0.8258
2025-04-25 00:30:00+00:00,0.82573003,0.82690001,0.82546997,0.82617003
2025-04-25 01:00:00+00:00,0.82555997,0.82753003,0.82555997,0.82726002
2025-04-25 01:30:00+00:00,0.82723999,0.82752001,0.82717001,0.82718003
2025-04-25 02:00:00+00:00,0.82734001,0.82832998,0.82722002,0.82805997
2025-04-25 02:30:00+00:00,0.82808,0.82883,0.82788998,0.82854998
2025-04-25 03:00:00+00:00,0.82853001,0.83011001,0.82846999,0.83007997
2025-04-25 03:30:00+00:00,0.83007002,0.8308,0.82994998,0.83072001
2025-04-25 04:00:00+00:00,0.83074999,0.83107001,0.83024001,0.83047003
2025-04-25 04:30:00+00:00,0.83045,0.83109999,0.82999998,0.83089
2025-04-25 05:00:00+00:00,0.83082998,0.83090001,0.82999998,0.83012998
2025-04-25 05:30:00+00:00,0.83011001,0.83050001,0.82977998,0.83007997
2025-04-25 06:00:00+00:00,0.8301,0.83078998,0.82937002,0.83077002
2025-04-25 06:30:00+00:00,0.83077002,0.83226001,0.83076,0.83214998
2025-04-25 07:00:00+00:00,0.83216,0.83289999,0.83155,0.83177
2025-04-25 07:30:00+00:00,0.83174002,0.83200002,0.83139002,0.83159
2025-04-25 08:00:00+00:00,0.83161998,0.83219999,0.83107001,0.83213001
2025-04-25 08:30:00+00:00,0.83213001,0.83249998,0.83139002,0.83209997
2025-04-25 09:00:00+00:00,0.83209002,0.83348,0.83200002,0.83263999
2025-04-25 09:30:00+00:00,0.83262998,0.83270001,0.8308,0.83201998
2025-04-25 10:00:00+00:00,0.83196002,0.83244002,0.82972002,0.83019
2025-04-25 10:30:00+00:00,0.83021998,0.83113998,0.82955003,0.83074999
2025-04-25 11:00:00+00:00,0.83073997,0.83147001,0.83026999,0.8308
2025-04-25 11:30:00+00:00,0.83078003,0.83144999,0.83020997,0.83056003
2025-04-25 12:00:00+00:00,0.83055001,0.83069998,0.82923001,0.82959002
2025-04-25 12:30:00+00:00,0.82958001,0.83102,0.82934999,0.83095002
2025-04-25 13:00:00+00:00,0.83095002,0.83099997,0.82932001,0.83034003
2025-04-25 13:30:00+00:00,0.83033001,0.83056998,0.82867998,0.82871997
2025-04-25 14:00:00+00:00,0.82868999,0.8294,0.82817,0.82845998
2025-04-25 14:30:00+00:00,0.82843,0.82984,0.82843,0.82968998
2025-04-25 15:00:00+00:00,0.82969999,0.83029997,0.82911003,0.83023
2025-04-25 15:30:00+00:00,0.83020997,0.83069003,0.82971001,0.83063
2025-04-25 16:00:00+00:00,0.83060998,0.83139002,0.83015001,0.83085001
2025-04-25 16:30:00+00:00,0.83087999,0.83139002,0.82982999,0.82999998
2025-04-25 17:00:00+00:00,0.82999998,0.83086997,0.82890999,0.82896
2025-04-25 17:30:00+00:00,0.82903999,0.82977998,0.82854998,0.82958001
2025-04-25 18:00:00+00:00,0.82955998,0.83051997,0.82931,0.82937998
2025-04-25 18:30:00+00:00,0.82937998,0.82962,0.82836002,0.82852
2025-04-25 19:00:00+00:00,0.82850999,0.82870001,0.82786,0.82813001
2025-04-25 19:30:00+00:00,0.82814002,0.82911003,0.82776999,0.82910001
2025-04-25 20:00:00+00:00,0.82905,0.82941002,0.82854003,0.82902002
2025-04-25 20:30:00+00:00,0.82902998,0.82911003,0.82699001,0.82749999
2025-04-25 21:00:00+00:00,0.82748002,0.8283,0.82704997,0.82757002
2025-04-25 21:30:00+00:00,0.82757002,0.82786,0.82696003,0.82701999
2025-04-25 22:00:00+00:00,0.82699001,0.82730001,0.82687002,0.82700002
2025-04-25 22:30:00+00:00,0.82700998,0.82804,0.82661998,0.82792997
2025-04-25 23:00:00+00:00,0.82791001,0.82810003,0.8276,0.82795
2025-04-25 23:30:00+00:00,0.82792997,0.82849997,0.82700998,0.82709002
2025-04-28 02:00:00+00:00,0.82843,0.82854998,0.82795,0.82819003
2025-04-28 02:30:00+00:00,0.82819998,0.82862002,0.82783997,0.82849997
2025-04-28 03:00:00+00:00,0.82849997,0.82861,0.82732999,0.82752001
2025-04-28 03:30:00+00:00,0.82751,0.82791001,0.82718998,0.82754999
2025-04-28 04:00:00+00:00,0.82749999,0.82841003,0.82727998,0.82836998
2025-04-28 04:30:00+00:00,0.82835001,0.82854003,0.82779002,0.82827002
2025-04-28 05:00:00+00:00,0.8283,0.82929999,0.82826,0.82898998
2025-04-28 05:30:00+00:00,0.829,0.82910001,0.82837999,0.82858998
2025-04-28 06:00:00+00:00,0.82859999,0.82867002,0.82786,0.82808
2025-04-28 06:30:00+00:00,0.82810003,0.82837999,0.82788998,0.82823998
2025-04-28 07:00:00+00:00,0.82824999,0.82852,0.82792997,0.82808
2025-04-28 07:30:00+00:00,0.82808,0.82814997,0.82691997,0.82696998
2025-04-28 08:00:00+00:00,0.82697999,0.82721001,0.82683998,0.82704997
2025-04-28 08:30:00+00:00,0.82705998,0.82765001,0.82669997,0.82753998
2025-04-28 09:00:00+00:00,0.82757002,0.82910001,0.82757002,0.82905
2025-04-28 09:30:00+00:00,0.82902002,0.83086997,0.82862002,0.83065999
2025-04-28 10:00:00+00:00,0.83063,0.83082002,0.82968998,0.82999998
2025-04-28 10:30:00+00:00,0.82999003,0.83161998,0.82990003,0.83133
2025-04-28 11:00:00+00:00,0.83139002,0.83186001,0.83073002,0.83147001
2025-04-28 11:30:00+00:00,0.83140999,0.83186001,0.83037001,0.83058
2025-04-28 12:00:00+00:00,0.83056998,0.83078003,0.82857001,0.82865
2025-04-28 12:30:00+00:00,0.82863998,0.82962,0.82853001,0.82960999
2025-04-28 13:00:00+00:00,0.82955998,0.82962,0.82867002,0.82916999
2025-04-28 13:30:00+00:00,0.82916999,0.82991999,0.82914001,0.82984
2025-04-28 14:00:00+00:00,0.82982999,0.83098,0.82980001,0.83068001
2025-04-28 14:30:00+00:00,0.83068001,0.83068001,0.82942998,0.82971001
2025-04-28 15:00:00+00:00,0.82971001,0.82981002,0.82854003,0.82867002
2025-04-28 15:30:00+00:00,0.82867998,0.83025002,0.82863998,0.83024001
2025-04-28 16:00:00+00:00,0.83021998,0.83067,0.82971001,0.82993001
2025-04-28 16:30:00+00:00,0.82994998,0.82998002,0.82758999,0.82852
2025-04-28 17:00:00+00:00,0.82850999,0.82883,0.82717001,0.82749999
2025-04-28 17:30:00+00:00,0.82747,0.82752001,0.82424998,0.82529998
2025-04-28 18:00:00+00:00,0.82533002,0.82616001,0.82497001,0.82532001
2025-04-28 18:30:00+00:00,0.82529998,0.82576001,0.82481003,0.82549
2025-04-28 19:00:00+00:00,0.82542998,0.82549,0.82309002,0.82352
2025-04-28 19:30:00+00:00,0.82353002,0.82410002,0.81992,0.82102001
2025-04-28 20:00:00+00:00,0.82104999,0.82151002,0.82032001,0.82059002
2025-04-28 20:30:00+00:00,0.82059997,0.82195997,0.82043999,0.82189
2025-04-28 21:00:00+00:00,0.82186002,0.82209998,0.82119,0.82134998
2025-04-28 21:30:00+00:00,0.82133001,0.82169998,0.82073998,0.82080001
2025-04-28 22:00:00+00:00,0.82078999,0.82102001,0.82046998,0.82078999
2025-04-28 22:30:00+00:00,0.82077003,0.82103002,0.82042998,0.82059002
2025-04-28 23:00:00+00:00,0.82062,0.82066,0.82020003,0.82028002
2025-04-28 23:30:00+00:00,0.82025999,0.8204,0.81958997,0.81963998
2025-04-29 00:00:00+00:00,0.81962001,0.8204,0.81910002,0.81963998
